U.S. President, , ,3041 of 3041 Precincts Reported
Hillary Clinton,Democratic,"310,602",49.61%
Henry Hewes,Democratic,648,0.10%
"Roque ""Rocky"" De La Fuente",Democratic,343,0.06%
Bernie Sanders,Democratic,"309,071",49.37%
Keith Judd,Democratic,283,0.05%
Willie L. Wilson,Democratic,306,0.05%
Martin J. O'Malley,Democratic,440,0.07%
John Wolfe,Democratic,247,0.04%
Jon Adams,Democratic,433,0.07%
Uncommitted,Democratic,"3,702",0.59%
 ,Party Total:,"626,075", 
 , , , 
Chris Christie,Republican,"1,677",0.18%
Jeb Bush,Republican,"3,349",0.36%
Ben Carson,Republican,"8,201",0.88%
Donald J. Trump,Republican,"382,093",40.83%
Marco Rubio,Republican,"57,006",6.09%
Ted Cruz,Republican,"380,367",40.65%
Rick Santorum,Republican,729,0.08%
Carly Fiorina,Republican,613,0.07%
John R. Kasich,Republican,"94,533",10.10%
Rand Paul,Republican,"1,771",0.19%
Jim Lynch,Republican,102,0.01%
Mike Huckabee,Republican,"2,137",0.23%
Uncommitted,Republican,"3,216",0.34%
 ,Party Total:,"935,794", 
 , , , 
Austin Petersen,Libertarian,851,29.37%
Steven Elliott (Steve) Kerbel,Libertarian,401,13.84%
Rhett Rosenquest Smith,Libertarian,99,3.42%
Cecil Ince,Libertarian,134,4.62%
Marc Allan Feldman,Libertarian,241,8.32%
Uncommitted,Libertarian,"1,172",40.44%
 ,Party Total:,"2,898", 
 , , , 
Uncommitted,Constitution,682,100.00%
 ,Total Votes:,"1,565,449", 
 , , , 